uid,page_type,action,product_id,brand,experiment_name,quantity
01Z0qujO9BLUh7LcTin3kR,experiment,view,-,-,Control,-
01Z0qujO9BLUh7LcTin3kR,experiment,scroll_in,-,-,Control,-
01Z0qujO9BLUh7LcTin3kR,experiment,scroll_in,-,-,Control,-
01Z0qujO9BLUh7LcTin3kR,experiment,scroll_in,-,-,Control,-
01Z0qujO9BLUh7LcTin3kR,experiment,scroll_in,-,-,Control,-
01Z0qujO9BLUh7LcTin3kR,experiment,scroll_in,-,-,Control,-
01Z0qujO9BLUh7LcTin3kR,experiment,scroll_in,-,-,Control,-
01Z0qujO9BLUh7LcTin3kR,experiment,scroll_in,-,-,Control,-
01Z0qujO9BLUh7LcTin3kR,experiment,scroll_in,-,-,Control,-
01Z0qujO9BLUh7LcTin3kR,experiment,hover_out,-,-,Control,-
01Z0qujO9BLUh7LcTin3kR,experiment,hover_in,-,-,Control,-
01Z0qujO9BLUh7LcTin3kR,experiment,scroll_in,-,-,Control,-
01Z0qujO9BLUh7LcTin3kR,experiment,scroll_in,-,-,Control,-
01Z0qujO9BLUh7LcTin3kR,experiment,scroll_in,-,-,Control,-
01Z0qujO9BLUh7LcTin3kR,experiment,scroll_in,-,-,Control,-
01Z0qujO9BLUh7LcTin3kR,experiment,hover_out,-,-,Control,-
01Z0qujO9BLUh7LcTin3kR,experiment,hover_in,-,-,Control,-
01Z0qujO9BLUh7LcTin3kR,experiment,scroll_out,-,-,Control,-
01Z0qujO9BLUh7LcTin3kR,experiment,scroll_out,-,-,Control,-
01Z0qujO9BLUh7LcTin3kR,experiment,scroll_out,-,-,Control,-
01Z0qujO9BLUh7LcTin3kR,experiment,scroll_out,-,-,Control,-
01Z0qujO9BLUh7LcTin3kR,experiment,scroll_in,-,-,Control,-
01Z0qujO9BLUh7LcTin3kR,experiment,scroll_in,-,-,Control,-
01Z0qujO9BLUh7LcTin3kR,experiment,scroll_in,-,-,Control,-
01Z0qujO9BLUh7LcTin3kR,experiment,scroll_in,-,-,Control,-
01Z0qujO9BLUh7LcTin3kR,experiment,scroll_out,-,-,Control,-
01Z0qujO9BLUh7LcTin3kR,experiment,scroll_out,-,-,Control,-
01Z0qujO9BLUh7LcTin3kR,experiment,scroll_out,-,-,Control,-
01Z0qujO9BLUh7LcTin3kR,experiment,scroll_out,-,-,Control,-
01Z0qujO9BLUh7LcTin3kR,experiment,scroll_in,-,-,Control,-
01Z0qujO9BLUh7LcTin3kR,experiment,scroll_in,-,-,Control,-
01Z0qujO9BLUh7LcTin3kR,experiment,scroll_in,-,-,Control,-
01Z0qujO9BLUh7LcTin3kR,experiment,scroll_in,-,-,Control,-
01Z0qujO9BLUh7LcTin3kR,experiment,hover_out,-,-,Control,-
01Z0qujO9BLUh7LcTin3kR,experiment,hover_in,-,-,Control,-
01Z0qujO9BLUh7LcTin3kR,experiment,scroll_out,-,-,Control,-
01Z0qujO9BLUh7LcTin3kR,experiment,scroll_out,-,-,Control,-
01Z0qujO9BLUh7LcTin3kR,experiment,scroll_out,-,-,Control,-
01Z0qujO9BLUh7LcTin3kR,experiment,scroll_out,-,-,Control,-
01Z0qujO9BLUh7LcTin3kR,experiment,hover_out,-,-,Control,-
01Z0qujO9BLUh7LcTin3kR,experiment,hover_in,-,-,Control,-
01Z0qujO9BLUh7LcTin3kR,experiment,scroll_in,-,-,Control,-
01Z0qujO9BLUh7LcTin3kR,experiment,scroll_in,-,-,Control,-
01Z0qujO9BLUh7LcTin3kR,experiment,scroll_in,-,-,Control,-
01Z0qujO9BLUh7LcTin3kR,experiment,scroll_in,-,-,Control,-
01Z0qujO9BLUh7LcTin3kR,experiment,hover_out,-,-,Control,-
01Z0qujO9BLUh7LcTin3kR,experiment,hover_in,-,-,Control,-
01Z0qujO9BLUh7LcTin3kR,experiment,scroll_out,-,-,Control,-
01Z0qujO9BLUh7LcTin3kR,experiment,scroll_out,-,-,Control,-
01Z0qujO9BLUh7LcTin3kR,experiment,scroll_out,-,-,Control,-
01Z0qujO9BLUh7LcTin3kR,experiment,scroll_out,-,-,Control,-
01Z0qujO9BLUh7LcTin3kR,experiment,scroll_out,-,-,Control,-
01Z0qujO9BLUh7LcTin3kR,experiment,scroll_out,-,-,Control,-
01Z0qujO9BLUh7LcTin3kR,experiment,scroll_out,-,-,Control,-
01Z0qujO9BLUh7LcTin3kR,experiment,scroll_out,-,-,Control,-
01Z0qujO9BLUh7LcTin3kR,experiment,scroll_in,-,-,Control,-
01Z0qujO9BLUh7LcTin3kR,experiment,scroll_in,-,-,Control,-
01Z0qujO9BLUh7LcTin3kR,experiment,scroll_in,-,-,Control,-
01Z0qujO9BLUh7LcTin3kR,experiment,scroll_in,-,-,Control,-
01Z0qujO9BLUh7LcTin3kR,experiment,scroll_in,-,-,Control,-
01Z0qujO9BLUh7LcTin3kR,experiment,scroll_in,-,-,Control,-
01Z0qujO9BLUh7LcTin3kR,experiment,scroll_in,-,-,Control,-
01Z0qujO9BLUh7LcTin3kR,experiment,scroll_in,-,-,Control,-
01Z0qujO9BLUh7LcTin3kR,experiment,hover_out,-,-,Control,-
01Z0qujO9BLUh7LcTin3kR,experiment,hover_in,-,-,Control,-
01Z0qujO9BLUh7LcTin3kR,experiment,scroll_in,-,-,Control,-
01Z0qujO9BLUh7LcTin3kR,experiment,scroll_in,-,-,Control,-
01Z0qujO9BLUh7LcTin3kR,experiment,scroll_in,-,-,Control,-
01Z0qujO9BLUh7LcTin3kR,experiment,scroll_in,-,-,Control,-
01Z0qujO9BLUh7LcTin3kR,experiment,scroll_in,-,-,Control,-
01Z0qujO9BLUh7LcTin3kR,experiment,scroll_in,-,-,Control,-
01Z0qujO9BLUh7LcTin3kR,experiment,scroll_in,-,-,Control,-
01Z0qujO9BLUh7LcTin3kR,experiment,scroll_in,-,-,Control,-
01Z0qujO9BLUh7LcTin3kR,experiment,scroll_out,-,-,Control,-
01Z0qujO9BLUh7LcTin3kR,experiment,scroll_out,-,-,Control,-
01Z0qujO9BLUh7LcTin3kR,experiment,scroll_out,-,-,Control,-
01Z0qujO9BLUh7LcTin3kR,experiment,scroll_out,-,-,Control,-
01Z0qujO9BLUh7LcTin3kR,experiment,scroll_out,-,-,Control,-
01Z0qujO9BLUh7LcTin3kR,experiment,scroll_out,-,-,Control,-
01Z0qujO9BLUh7LcTin3kR,experiment,scroll_out,-,-,Control,-
01Z0qujO9BLUh7LcTin3kR,experiment,scroll_out,-,-,Control,-
01Z0qujO9BLUh7LcTin3kR,experiment,scroll_out,-,-,Control,-
01Z0qujO9BLUh7LcTin3kR,experiment,scroll_out,-,-,Control,-
01Z0qujO9BLUh7LcTin3kR,experiment,scroll_out,-,-,Control,-
01Z0qujO9BLUh7LcTin3kR,experiment,scroll_out,-,-,Control,-
01Z0qujO9BLUh7LcTin3kR,experiment,scroll_out,-,-,Control,-
01Z0qujO9BLUh7LcTin3kR,experiment,scroll_out,-,-,Control,-
01Z0qujO9BLUh7LcTin3kR,experiment,scroll_out,-,-,Control,-
01Z0qujO9BLUh7LcTin3kR,experiment,scroll_out,-,-,Control,-
01Z0qujO9BLUh7LcTin3kR,experiment,scroll_in,-,-,Control,-
01Z0qujO9BLUh7LcTin3kR,experiment,scroll_in,-,-,Control,-
01Z0qujO9BLUh7LcTin3kR,experiment,scroll_in,-,-,Control,-
01Z0qujO9BLUh7LcTin3kR,experiment,scroll_in,-,-,Control,-
01Z0qujO9BLUh7LcTin3kR,experiment,scroll_in,-,-,Control,-
01Z0qujO9BLUh7LcTin3kR,experiment,scroll_in,-,-,Control,-
01Z0qujO9BLUh7LcTin3kR,experiment,scroll_in,-,-,Control,-
01Z0qujO9BLUh7LcTin3kR,experiment,scroll_in,-,-,Control,-
01Z0qujO9BLUh7LcTin3kR,experiment,hover_out,-,-,Control,-
