uid,product_id,brand,experiment_name,quantity,amount,total_amount
6EASosjvsN9r5RCiF7gV5c,10742,Pataks,Control,1,2.4,4.8
6EASosjvsN9r5RCiF7gV5c,10752,Pataks,Control,1,2.4,4.8
0d00klGFNQVTMkmWMPlvax,10742,Pataks,Experiment 1,1,2.4,2.4
2Mp9S5c9hrjIZvGUkudh2l,10753,Loyd Grossman,Experiment 1,1,3.0,3.0
0BeFSh1PPGRF6eyG03Kj5F,10739,Sharwoods,Experiment 2,1,2.5,10.1
0BeFSh1PPGRF6eyG03Kj5F,10765,Bens Original,Experiment 2,1,2.6,10.1
0BeFSh1PPGRF6eyG03Kj5F,10740,Sharwoods,Experiment 2,1,2.5,10.1
0BeFSh1PPGRF6eyG03Kj5F,10745,Sharwoods,Experiment 2,1,2.5,10.1
0Br6cGtHVSliVBV0AImWlK,10736,Pataks,Experiment 1,1,2.4,4.8
0Br6cGtHVSliVBV0AImWlK,10752,Pataks,Experiment 1,1,2.4,4.8
3M5srrfF3O3PhNYlpHxmgC,10770,Sharwoods,Experiment 2,1,2.5,8.25
3M5srrfF3O3PhNYlpHxmgC,10777,Sharwoods,Experiment 2,1,2.5,8.25
3M5srrfF3O3PhNYlpHxmgC,10758,Pataks,Experiment 2,1,3.25,8.25
5vhKhm1u63EayZysKqKlHg,10743,Pataks,Experiment 1,1,2.4,7.4
5vhKhm1u63EayZysKqKlHg,10759,Sharwoods,Experiment 1,1,2.5,7.4
5vhKhm1u63EayZysKqKlHg,10744,Sharwoods,Experiment 1,1,2.5,7.4
4TqVp0hckJLGgxGMiswkW3,10762,Pataks,Control,2,6.5,12.1
4TqVp0hckJLGgxGMiswkW3,10783,Sharwoods,Control,2,5.6,12.1
5NjQo0QuBfydxUio1kQcwy,10759,Sharwoods,Experiment 1,1,2.5,21.0
5NjQo0QuBfydxUio1kQcwy,10743,Pataks,Experiment 1,1,2.4,21.0
5NjQo0QuBfydxUio1kQcwy,10762,Pataks,Experiment 1,2,6.5,21.0
5NjQo0QuBfydxUio1kQcwy,10746,Pataks,Experiment 1,1,3.25,21.0
5NjQo0QuBfydxUio1kQcwy,10748,The Spice Tailor,Experiment 1,1,3.85,21.0
5NjQo0QuBfydxUio1kQcwy,10777,Sharwoods,Experiment 1,1,2.5,21.0
6oh8sqI7fW2dEgtaXbaPjD,10790,Sharwoods,Experiment 2,1,2.8,5.6
